DP05_0024PE,DP05_0018E,DP03_0066PE,DP02_0061PE,DP03_0009PE,DP03_0033PE,DP03_0028PE,DP05_0070PE,DP04_0076E,DP05_0003PE,DP03_0010PE,DP03_0099PE,DP04_0047PE,DP04_0134E,DP04_0014PE,DP04_0003PE,DP03_0119PE,DP03_0061PE,DP03_0088E,DP02_0115PE,DP04_0058PE,DP05_0044PE,DP05_0038PE,DP05_0039PE,DP03_0062E,state,county,tract
16.2,42.6,39.1,4.1,6.3,6.6,11.0,7.6,1927,49.4,2072,22.6,13.9,965,29.9,17.8,16.3,4.7,32490,1.5,2.5,0.0,6.0,0.0,67344,48,001,950100
3.4,38.8,23.1,23.3,0.0,0.0,31.0,36.4,26,0.6,27,20.0,34.6,-666666666,3.8,50.9,0.0,0.0,3462,8.1,0.0,0.0,34.6,0.6,98750,48,001,950401
1.9,42.8,-666666666.0,20.5,-666666666.0,-666666666.0,-666666666.0,36.2,0,0.0,0,0.0,-666666666.0,-666666666,-666666666.0,-666666666.0,-666666666.0,-666666666.0,1472,5.7,-666666666.0,0.0,34.8,0.1,-666666666,48,001,950402
18.0,42.1,48.6,7.3,5.9,1.3,18.5,18.7,1425,48.9,1809,16.2,29.1,788,3.0,12.5,14.0,3.9,25685,12.7,8.8,0.0,17.8,0.6,59358,48,001,950500
14.1,35.1,31.2,8.5,3.0,5.8,19.1,15.2,1948,50.9,2130,18.7,42.7,1275,16.1,12.1,22.7,3.2,28413,1.6,12.0,0.0,14.7,0.0,44250,48,001,950600
15.8,35.2,31.5,5.1,9.1,3.6,21.8,55.6,728,50.3,891,24.1,53.2,881,2.5,24.7,18.8,0.0,16790,8.1,13.0,0.0,51.2,1.1,39375,48,001,950700
10.9,34.9,21.3,3.7,9.1,0.4,34.1,40.7,2719,46.3,2252,22.9,52.2,1054,0.8,7.5,10.0,1.1,28176,7.3,7.5,0.0,38.9,0.3,42350,48,001,950800
22.7,43.0,56.6,6.6,4.7,3.0,20.2,9.7,1697,41.8,1924,24.0,24.4,883,31.7,20.9,11.3,1.6,23217,7.0,4.8,0.0,8.9,0.0,53199,48,001,950901
16.5,44.0,36.2,8.8,0.8,7.3,12.8,9.5,2063,43.3,1928,13.1,17.5,1049,26.7,13.9,7.5,3.3,35304,2.2,9.2,0.0,6.9,6.6,73406,48,001,950902
24.3,42.2,56.1,4.7,4.8,6.0,10.8,11.4,1464,46.3,1739,18.2,20.4,1245,31.9,16.9,9.8,8.8,43817,1.2,0.8,0.0,8.8,0.6,64052,48,001,951001
17.1,39.5,33.1,6.0,6.1,2.0,16.8,6.9,1296,48.0,1418,12.2,17.1,679,14.5,14.7,6.2,5.9,33206,0.5,3.1,0.0,6.3,0.0,85833,48,001,951002
22.7,40.7,40.9,2.1,4.8,11.4,13.3,7.1,1849,47.6,1681,11.1,27.6,966,37.6,26.2,12.0,4.7,35473,0.4,3.2,0.0,6.2,0.0,73125,48,001,951100
11.2,31.4,31.2,6.6,0.4,9.2,13.4,0.0,741,40.4,697,12.8,19.6,-666666666,13.4,4.8,7.7,14.4,45999,17.4,2.3,0.0,0.0,0.0,103781,48,003,950100
8.3,31.7,21.5,11.3,2.9,27.0,11.2,2.4,2817,52.2,2812,15.5,25.8,1528,1.8,0.0,15.1,10.0,34937,11.0,2.1,0.0,0.5,0.5,77053,48,003,950200
9.0,36.1,20.5,11.4,1.4,15.7,28.7,6.7,1928,56.1,1786,40.8,28.4,1359,32.5,6.3,6.8,10.1,39050,18.5,2.3,0.0,6.7,0.0,71450,48,003,950300
12.2,32.4,24.6,14.8,3.3,26.6,20.0,0.4,1294,48.7,1329,20.3,14.5,884,52.2,8.3,10.4,9.7,32372,13.5,6.2,0.0,0.0,0.0,64805,48,003,950400
12.2,34.4,24.8,8.7,6.1,3.0,23.8,8.5,2085,45.6,1957,18.2,40.3,1182,30.9,6.0,9.9,5.6,31954,2.8,5.0,0.0,4.5,2.9,59161,48,005,000102
